"x","y","color","pen down?","x","y","color","pen down?"
"164","1.9644894666089372","0","true","164","2.1295737701542956","5","true"
"165","2.002598290209734","0","true","165","1.0100600726073563","5","true"
"166","0.9106095802146388","0","true","166","2.620703196131598","5","true"
"167","2.383857632330028","0","true","167","1.6714359785868635","5","true"
"168","1.534169697145903","0","true","168","2.066883819311125","5","true"
"169","1.8872959402355347","0","true","169","2.0668838193111245","5","true"
"170","1.8889280870489642","0","true","170","1.8699460456526653","5","true"
"171","1.7166325826570665","0","true","171","2.249569146991176","5","true"
"172","2.0309201861135904","0","true","172","1.76803322560749","5","true"
"173","1.583380954822762","0","true","173","2.294607881793911","5","true"
"174","1.9710427367418466","0","true","174","1.5584177576960656","5","true"
"175","1.1885197538308188","0","true","175","2.4207906115878686","5","true"
"176","1.819875913443183","0","true","176","2.183570130920452","5","true"
"177","1.6356947960138357","0","true","177","1.7637199902137646","5","true"
"178","1.3341065484220154","0","true","178","2.2011362168226394","5","true"
"179","1.6672914316033498","0","true","179","2.2011362168226394","5","true"
"180","1.6382749514621937","0","true","180","1.5512237134400946","5","true"
"181","1.1104032414705194","0","true","181","1.3230515885104046","5","true"
"182","0.9117528608611288","0","true","182","1.927620095432606","5","true"
"183","1.363897636092197","0","true","183","2.100539945918241","5","true"
"184","1.5133087676840773","0","true","184","1.4489875927311027","5","true"
"185","0.9859202799871412","0","true","185","-0.23917541739246728","5","true"
"186","-0.6251683951417767","0","true","186","-0.23917541739246737","5","true"
"187","-0.6160418514288084","0","true","187","0.8562768414341139","5","true"
"188","0.5016459329009716","0","true","188","1.1199586592273072","5","true"
"189","0.7456288257053572","0","true","189","1.7524338523633127","5","true"
"190","1.264182826351342","0","true","190","1.3356696252789013","5","true"
"191","0.954157254843503","0","true","191","1.5405080170930079","5","true"
"192","1.044670136762945","0","true","192","1.2486627124981367","5","true"
"193","0.8447303572973113","0","true","193","1.173983979830072","5","true"
"194","0.7817981744997661","0","true","194","0.7274688628075565","5","true"
"195","0.3707127141015487","0","true","195","0.3616202876702306","5","true"
"196","0.031162440956197843","0","true","196","0.3616202876702306","5","true"
"197","0.03659091808691101","0","true","197","0.5311872129782006","5","true"
"198","0","0","true","198","0","5","true"
"199","0","0","true","199","0","5","true"
"200","0","0","true","200","0","5","true"
"201","0","0","true","201","0","5","true"
"202","0","0","true","202","0","5","true"
"203","0","0","true","203","0","5","true"
"204","0","0","true","204","0","5","true"
"205","0","0","true","205","0","5","true"
"206","0","0","true","206","0","5","true"
"207","0","0","true","207","0","5","true"
"208","0","0","true","208","0","5","true"
"209","0","0","true","209","0","5","true"
"210","0","0","true","210","0","5","true"
"211","0","0","true","211","0","5","true"
"212","0","0","true","212","0","5","true"
"213","0","0","true","213","0","5","true"
"214","0","0","true","214","0","5","true"
"215","0","0","true","215","0","5","true"
"216","0","0","true","216","0","5","true"
"217","0","0","true","217","0","5","true"
"218","0","0","true","218","0","5","true"
"219","0","0","true","219","0","5","true"
"220","0","0","true","220","0","5","true"
"221","0","0","true","221","0","5","true"
"222","0","0","true","222","0","5","true"
"223","0","0","true","223","0","5","true"
"224","0","0","true","224","0","5","true"
"225","0","0","true","225","0","5","true"
"226","0","0","true","226","0","5","true"
"227","0","0","true","227","0","5","true"
"228","0","0","true","228","0","5","true"
"229","0","0","true","229","0","5","true"
"230","0","0","true","230","0","5","true"
"231","0","0","true","231","0","5","true"
"232","0","0","true","232","0","5","true"
"233","0","0","true","233","0","5","true"
"234","0","0","true","234","0","5","true"
"235","0","0","true","235","0","5","true"
"236","0","0","true","236","0","5","true"
"237","0","0","true","237","0","5","true"
"238","0","0","true","238","0","5","true"
"239","0","0","true","239","0","5","true"
"240","0","0","true","240","0","5","true"
"241","0","0","true","241","0","5","true"
"242","0","0","true","242","0","5","true"
"243","0","0","true","243","0","5","true"
"244","0","0","true","244","0","5","true"
"245","0","0","true","245","0","5","true"
"246","0","0","true","246","0","5","true"
"247","0","0","true","247","0","5","true"
"248","0","0","true","248","0","5","true"
"249","0","0","true","249","2.4831095785198483","5","true"
"250","0","0","true","250","2.293396407182483","5","true"
"251","2.293396407182483","0","true","251","2.0656040024253266","5","true"
"252","2.0656040024253257","0","true","252","0.6530556240850891","5","true"
"253","0.6530556240850891","0","true","253","2.22294664503382","5","true"
"254","2.22294664503382","0","true","254","1.5383150286808693","5","true"
"255","1.5383150286808693","0","true","255","1.8890966418256518","5","true"
"256","1.8890966418256523","0","true","256","2.50456247595794","5","true"
"257","2.50456247595794","0","true","257","2.5045624759579406","5","true"
"258","2.50023189467374","0","true","258","2.287082990306967","5","true"
"259","2.2659489099103154","0","true","259","0.7813222801378511","5","true"
"260","0.7615764464483639","0","true","260","2.3550297981314787","5","true"
"261","2.31575215624682","0","true","261","1.8430452915967122","5","true"
"262","1.813482446058927","0","true","262","2.5234824480206663","5","true"
"263","2.4834922036201332","0","true","263","2.523482448020667","5","true"
"264","2.4847529462979874","0","true","264","2.2205295667604847","5","true"
"265","2.1868713571354785","0","true","265","0.7829135350412937","5","true"
"266","0.7633807559981541","0","true","266","2.113934155991954","5","true"
"267","2.07497948756527","0","true","267","2.034301107178657","5","true"
"268","1.9432163516631524","0","true","268","2.1295737701542956","5","true"
"269","1.989425091200637","0","true","269","1.0100600726073563","5","true"
"270","0.9150177236278405","0","true","270","2.620703196131598","5","true"
"271","2.4426996150883338","0","true","271","1.6714359785868635","5","true"
"272","1.5589207791419026","0","true","272","2.0668838193111245","5","true"
"273","1.9271788529122291","0","true","273","2.0668838193111245","5","true"
"274","1.9268158247615441","0","true","274","1.869946045652665","5","true"
"275","1.7435122882111342","0","true","275","2.249569146991176","5","true"
"276","2.07226337683946","0","true","276","1.76803322560749","5","true"
"277","1.5228514979013068","0","true","277","2.294607881793911","5","true"
"278","2.0009921747288364","0","true","278","1.5584177576960656","5","true"
"279","1.2357117204179935","0","true","279","2.420790611587868","5","true"
"280","1.9654463226762078","0","true","280","2.183570130920452","5","true"
"281","1.6970482744431878","0","true","281","1.7637199902137646","5","true"
"282","1.3595616875690038","0","true","282","2.2011362168226394","5","true"
"283","1.7486241644379816","0","true","283","2.2011362168226394","5","true"
"284","1.8136152811793649","0","true","284","1.605875021069287","5","true"
"285","1.2046394944156453","0","true","285","1.3725692777932068","5","true"
"286","0.8527489546289786","0","true","286","1.9906518635273693","5","true"
"287","1.3867515781245008","0","true","287","2.167356615518839","5","true"
"288","1.5370908423258747","0","true","288","1.5013419373389885","5","true"
"289","1.0334046403733137","0","true","289","-0.22491478789288846","5","true"
"290","-0.6906874385362882","0","true","290","-0.22491478789288852","5","true"
"291","-0.646648169774536","0","true","291","0.8952456769701597","5","true"
"292","0.47042898114298987","0","true","292","1.1648906937728016","5","true"
"293","0.7303924181964603","0","true","293","1.8115836351800885","5","true"
"294","1.268391385142383","0","true","294","1.3854718231569416","5","true"
"295","0.9455555362522846","0","true","295","1.5949188694539478","5","true"
"296","1.0936859842919355","0","true","296","1.2965020204492759","5","true"
"297","0.8526484305777541","0","true","297","1.2201368174416336","5","true"
"298","0.77761844397899","0","true","298","0.763524108842383","5","true"
"299","0.3633690474585742","0","true","299","0.3894081126298085","5","true"
"300","0.03016611787499403","0","true","300","0.38940811262980857","5","true"
"301","-0.01226171123700374","0","true","301","0.5628048455347119","5","true"
"302","0","0","true","302","0","5","true"
"303","0","0","true","303","0","5","true"
"304","0","0","true","304","0","5","true"
"305","0","0","true","305","0","5","true"
"306","0","0","true","306","0","5","true"
"307","0","0","true","307","0","5","true"
"308","0","0","true","308","0","5","true"
"309","0","0","true","309","0","5","true"
"310","0","0","true","310","0","5","true"
"311","0","0","true","311","0","5","true"
"312","0","0","true","312","0","5","true"
"313","0","0","true","313","0","5","true"
"314","0","0","true","314","0","5","true"
"315","0","0","true","315","0","5","true"
"316","0","0","true","316","0","5","true"
"317","0","0","true","317","0","5","true"
"318","0","0","true","318","0","5","true"
"319","0","0","true","319","0","5","true"
"320","0","0","true","320","0","5","true"
"321","0","0","true","321","0","5","true"
"322","0","0","true","322","0","5","true"
"323","0","0","true","323","0","5","true"
"324","0","0","true","324","0","5","true"
"325","0","0","true","325","0","5","true"
"326","0","0","true","326","0","5","true"
"327","0","0","true","327","0","5","true"
"328","0","0","true","328","0","5","true"
"329","0","0","true","329","0","5","true"
"330","0","0","true","330","0","5","true"
"331","0","0","true","331","0","5","true"
"332","0","0","true","332","0","5","true"
"333","0","0","true","333","0","5","true"
"334","0","0","true","334","0","5","true"
"335","0","0","true","335","0","5","true"
"336","0","0","true","336","0","5","true"
"337","0","0","true","337","0","5","true"
"338","0","0","true","338","0","5","true"
"339","0","0","true","339","0","5","true"
"340","0","0","true","340","0","5","true"
"341","0","0","true","341","0","5","true"
"342","0","0","true","342","0","5","true"
"343","0","0","true","343","0","5","true"
"344","0","0","true","344","0","5","true"
"345","0","0","true","345","0","5","true"
"346","0","0","true","346","0","5","true"
"347","0","0","true","347","0","5","true"
"348","0","0","true","348","0","5","true"
"349","0","0","true","349","0","5","true"
"350","0","0","true","350","0","5","true"
"351","0","0","true","351","0","5","true"
"352","0","0","true","352","0","5","true"
"353","0","0","true","353","2.5580194061890777","5","true"
"354","0","0","true","354","2.364354235468286","5","true"
"355","2.3643542354682863","0","true","355","2.1316606210888653","5","true"
"356","2.1316606210888653","0","true","356","0.6874280769572853","5","true"
"357","0.6874280769572853","0","true","357","2.292403639489171","5","true"
"358","2.292403639489171","0","true","358","1.592676662175591","5","true"
"359","1.5926766621755915","0","true","359","1.9512782650518965","5","true"
"360","1.9512782650518963","0","true","360","2.5799091518746984","5","true"
"361","2.579909151874699","0","true","361","2.5799091518746984","5","true"
"362","2.5673660351435927","0","true","362","2.357906955506781","5","true"
"363","2.3359814607602014","0","true","363","0.8185955985162244","5","true"
"364","0.8008130998132069","0","true","364","2.4272872243063097","5","true"
"365","2.392425768511148","0","true","365","1.9042078845201325","5","true"
"366","1.8771240497226644","0","true","366","2.5992123983975777","5","true"
"367","2.560038012149659","0","true","367","2.599212398397578","5","true"
"368","2.5602286241389938","0","true","368","2.289934804901446","5","true"
